t,i1,i2,i3,sum
344.75,-0.186804,3.99269220585698,-3.80588820585698,1.33226762955019e-15
345,-0.186804,4.12909233278606,-3.94228833278606,1.33226762955019e-15
345.25,-0.1627576,4.11992935488713,-3.95717175488713,4.44089209850063e-16
345.5,-0.186804,4.13195255488714,-3.94514855488713,1.33226762955019e-15
345.75,-0.186804,4.07519844607553,-3.88839444607552,1.33226762955019e-15
346,-0.1809282,4.05938448037206,-3.87845628037206,1.33226762955019e-15
346.25,-0.1601844,4.04901258037206,-3.88882818037206,1.33226762955019e-15
346.5,0.215206,3.30427598425145,-3.51948198425145,4.44089209850063e-16
346.75,1.4893433,1.76201489235037,-3.25135819235037,0
347,2.7076683,0.0387695135066104,-2.74643781350661,0
347.25,2.978067,0.0681121323418212,-3.04617913234182,-4.44089209850063e-16
347.5,3.1900804,0.00645398705183964,-3.19653438705184,-4.44089209850063e-16
347.75,3.2607606,0.032324822398945,-3.29308542239895,-4.44089209850063e-16
348,3.2704824,-0.0337470129481605,-3.23673538705184,0
348.25,3.2704824,0.035883161566916,-3.30636556156692,-4.44089209850063e-16
348.5,3.2704824,0.035883161566916,-3.30636556156692,-4.44089209850063e-16
348.75,3.197229,0.00907055625333286,-3.20629955625333,-4.44089209850063e-16
349,3.1900804,0.00645398705183964,-3.19653438705184,-4.44089209850063e-16
349.25,3.1900804,0.0463458018289027,-3.2364262018289,0
349.5,2.8684723,-0.367856288665273,-2.50061601133473,-8.88178419700125e-16
349.75,2.5468643,-1.48232267354523,-1.06454162645477,-6.66133814775094e-16
350,2.3056583,-2.42017453640992,0.114516236409923,-1.11022302462516e-15
350.25,2.5033743,-2.64429081350661,0.140916513506608,-8.88178419700125e-16
350.5,2.7076683,-2.83576677506125,0.128098475061246,-6.66133814775094e-16
350.75,2.7860679,-2.92489796253676,0.138830062536761,-1.33226762955019e-15
351,2.849731,-3.01012915854935,0.160398158549351,-1.11022302462516e-15
351.25,2.8684723,-3.03573033705184,0.167258037051837,-8.88178419700125e-16
351.5,2.7880703,-2.99552933705184,0.207459037051837,-1.33226762955019e-15
351.75,2.7880703,-2.92589916253676,0.137828862536761,-1.11022302462516e-15
352,2.7289828,-2.89635541253676,0.167372612536761,-1.11022302462516e-15
352.25,2.7880703,-2.92589916253676,0.137828862536761,-1.11022302462516e-15
352.5,2.7880703,-2.92589916253676,0.137828862536761,-1.11022302462516e-15
352.75,2.1228474,-2.66291788705184,0.540070487051838,-8.88178419700125e-16
353,0.215206,-2.12687832074484,1.91167232074484,-6.66133814775094e-16
353.25,-0.186804,-2.17341577049653,2.36021977049653,-4.44089209850063e-16
353.5,-0.186804,-2.40027095181279,2.58707495181278,-8.88178419700125e-16
353.75,-0.112119,-2.45557810958381,2.56769710958381,-4.44089209850063e-16
354,-0.186804,-2.55254489138053,2.73934889138053,-4.44089209850063e-16
354.25,-0.2340085,-2.56982302415601,2.80383152415601,-8.88178419700125e-16
354.5,-0.186804,-2.56333019855418,2.75013419855418,-8.88178419700125e-16
354.75,-0.186804,-2.62217515249814,2.80897915249814,-4.44089209850063e-16
355,-0.186804,-2.62217515249814,2.80897915249814,-4.44089209850063e-16
355.25,-0.186804,-2.57906639975618,2.76587039975618,-4.44089209850063e-16
355.5,-0.186804,-2.62217515249814,2.80897915249814,-4.44089209850063e-16
355.75,-0.8408833,-1.58001805641206,2.42090135641206,-4.44089209850063e-16
356,-1.7948442,-0.104772894751026,1.89961709475103,0
356.25,-2.168803,0.0399487956713125,2.12885420432869,0
356.5,-2.2772563,0.0245452711562359,2.25271102884376,4.44089209850063e-16
356.75,-2.3710946,0.0598282440233673,2.31126635597663,4.44089209850063e-16
357,-2.4842822,0.0584279600386193,2.42585423996138,4.44089209850063e-16
357.25,-2.5184623,0.0279526039662432,2.49050969603376,4.44089209850063e-16
357.5,-2.5184623,0.075518010038619,2.44294428996138,0
357.75,-2.4540697,0.0294571629392726,2.42461253706073,0
358,-2.4817091,0.0571414100386192,2.42456768996138,4.44089209850063e-16
358.25,-2.3805633,0.00656851003861925,2.37399478996138,8.88178419700125e-16
358.5,-2.3576583,-0.00301224925618127,2.36067054925618,0
358.75,-1.7144422,1.01257436609598,0.701867833904024,5.55111512312578e-16
359,-1.7144422,1.5535229317533,0.160919268246696,5.55111512312578e-16
359.25,-1.8752462,1.70355510626838,0.17169109373162,7.7715611723761e-16
359.5,-2.0356384,1.85338138078346,0.182257019216543,6.66133814775094e-16
359.75,-2.0572059,1.93379530529853,0.123410594701467,6.66133814775094e-16
360,-2.1583517,1.98436820529853,0.173983494701467,6.66133814775094e-16
360.25,-2.1968542,2.00361945529853,0.193234744701467,4.44089209850063e-16
360.5,-2.1968542,2.00361945529853,0.193234744701467,4.44089209850063e-16
360.75,-2.1968542,2.00361945529853,0.193234744701467,4.44089209850063e-16
361,-2.1523817,2.01989760667088,0.132484093329123,6.66133814775094e-16
361.25,-2.1316379,1.97101130529853,0.160626594701467,6.66133814775094e-16
361.5,-0.8300201,1.38983257981361,-0.55981247981361,6.66133814775094e-16
361.75,-0.186804,1.34674531447646,-1.15994131447646,2.22044604925031e-16
362,-0.186804,1.48600566350661,-1.29920166350661,4.44089209850063e-16
362.25,-0.186804,1.62526601253676,-1.43846201253676,4.44089209850063e-16
362.5,-0.2590748,1.73103158705184,-1.47195678705184,4.44089209850063e-16
362.75,-0.186804,1.69489618705184,-1.50809218705184,4.44089209850063e-16
363,-0.186804,1.69489618705184,-1.50809218705184,4.44089209850063e-16
363.25,-0.1968435,1.76085173612816,-1.56400823612816,6.66133814775094e-16
363.5,-0.186804,1.68562599132211,-1.49882199132211,4.44089209850063e-16
363.75,-0.186804,1.69489618705184,-1.50809218705184,4.44089209850063e-16
364,-0.186804,1.67046552380854,-1.48366152380854,4.44089209850063e-16
364.25,-0.1942704,1.69862938705184,-1.50435898705184,4.44089209850063e-16
364.5,0.5235366,0.364903357238228,-0.888439957238228,0
364.75,0.9388241,0.0179992582080756,-0.956823358208076,-2.22044604925031e-16
365,1.0192261,5.51484897304277e-07,-1.0192266514849,0
365.25,1.1751369,0.0391032072382286,-1.21424010723823,0
365.5,1.1641796,0.0445818572382286,-1.20876145723823,-2.22044604925031e-16
365.75,1.2166245,-0.019579173843139,-1.19704532615686,-2.22044604925031e-16
366,1.1800301,0.0366566072382286,-1.21668670723823,-2.22044604925031e-16
366.25,1.258112,0.0652365662139849,-1.32334856621398,0
366.5,1.1800301,0.0366566072382286,-1.21668670723823,-2.22044604925031e-16
366.75,1.1800301,0.0366566072382286,-1.21668670723823,-2.22044604925031e-16
367,1.1800301,0.0366566072382286,-1.21668670723823,-2.22044604925031e-16
367.25,0.6169631,-0.448180107884468,-0.168782992115532,-2.22044604925031e-16
367.5,0.6976181,-0.836220358208075,0.138602258208075,-2.77555756156289e-16
367.75,0.9001627,-1.04060458726902,0.140441887269023,-4.44089209850063e-16
368,0.9388241,-1.09608370723823,0.157259607238228,-2.77555756156289e-16
368.25,1.0164,-1.13731913163186,0.120919131631863,-4.44089209850063e-16
368.5,1.0192261,-1.13628470723823,0.117058607238228,-4.44089209850063e-16
368.75,1.0192261,-1.2059148817533,0.186688781753304,-3.33066907387547e-16
369,1.0842836,-1.2384436317533,0.154160031753304,-3.33066907387547e-16
369.25,1.0192261,-1.20123903739319,0.182012937393191,-4.44089209850063e-16
369.5,0.9649671,-1.1787853817533,0.213818281753304,-3.33066907387547e-16
369.75,1.0192261,-1.2059148817533,0.186688781753304,-3.33066907387547e-16
370,0.37601,-0.814676657238228,0.438666657238228,-1.66533453693773e-16
370.25,-0.186804,-0.804886140971943,0.991690140971943,-1.11022302462516e-16
370.5,-0.186804,-0.951050704328687,1.13785470432869,-4.44089209850063e-16
370.75,-0.186804,-0.993884234197325,1.18068823419732,-2.22044604925031e-16
371,-0.186804,-1.09031113996138,1.27711513996138,-2.22044604925031e-16
371.25,-0.186804,-1.02981354973937,1.21661754973937,-2.22044604925031e-16
371.5,-0.186804,-1.13284398580982,1.31964798580982,-2.22044604925031e-16
371.75,-0.186804,-1.09031113996138,1.27711513996138,-2.22044604925031e-16
372,-0.186804,-1.09031113996138,1.27711513996138,-2.22044604925031e-16
372.25,-0.186804,-1.10167209422093,1.28847609422093,-2.22044604925031e-16
372.5,-0.186804,-1.15994131447646,1.34674531447646,-2.22044604925031e-16
372.75,-0.6722305,-0.17102532934185,0.84325582934185,0
373,-0.9154742,-0.0252989612656163,0.940773161265616,0
373.25,-1.0712261,0.0346123309633601,1.03661376903664,2.22044604925031e-16
373.5,-1.1076616,0.0283433858764357,1.07931821412356,0
373.75,-1.0944489,-0.00981703272315215,1.10426593272315,0
374,-1.0737051,-0.0201889327231521,1.09389403272315,0
374.25,-1.0712261,0.0482017417919244,1.02302435820808,2.22044604925031e-16
374.5,-1.0712261,-0.0214284327231521,1.09265453272315,0
374.75,-1.0712261,0.0482017417919244,1.02302435820808,2.22044604925031e-16
375,-1.0712261,0.0481202488014282,1.02310585119857,0
375.25,-1.0712261,0.0997857655454811,0.971440334454519,0
375.5,-0.5888141,0.29440705,0.29440705,1.66533453693773e-16
375.75,-0.7315416,0.628636789848796,0.102904810151204,2.77555756156289e-16
376,-0.8300201,0.693530748060306,0.136489351939695,3.33066907387547e-16
376.25,-0.9338331,0.745437248060306,0.188395851939695,2.22044604925031e-16
376.5,-0.9466693,0.790094613161867,0.156574686838133,3.33066907387547e-16
376.75,-0.9908241,0.773932748060306,0.216891351939695,2.77555756156289e-16
377,-0.9908241,0.843562922575382,0.147261177424618,3.88578058618805e-16
377.25,-0.9908241,0.843562922575382,0.147261177424618,3.88578058618805e-16
377.5,-0.9908241,0.843562922575382,0.147261177424618,3.88578058618805e-16
377.75,-0.9778938,0.825899804296828,0.151993995703172,2.22044604925031e-16
378,-0.9104221,0.733731748060306,0.176690351939695,2.77555756156289e-16
378.25,-0.8300201,0.693530748060306,0.136489351939695,3.33066907387547e-16
378.5,-0.137503,0.347272198060306,-0.209769198060306,8.32667268468867e-17
378.75,-0.186804,0.502213535380923,-0.315409535380923,2.22044604925031e-16
379,-0.186804,0.511183133692999,-0.324379133692999,1.66533453693773e-16
379.25,-0.186804,0.580813308208075,-0.394009308208075,2.22044604925031e-16
379.5,-0.186804,0.535888933207081,-0.349084933207081,1.66533453693773e-16
379.75,-0.186804,0.580813308208075,-0.394009308208075,2.22044604925031e-16
380,-0.186804,0.580813308208075,-0.394009308208075,2.22044604925031e-16
