t,id,iq,omega,gamma
-197.2500E-03,-151.5747E-03,-321.6080E-03,-4.1456752E+00,+2.3924623E+00
-197.0000E-03,-130.8309E-03,-321.6080E-03,-4.1809045E+00,+2.1756852E+00
-196.7500E-03,-183.1189E-03,-321.6080E-03,-4.1809045E+00,+1.9867671E+00
-196.5000E-03,-106.4020E-03,-384.9514E-03,-4.1175611E+00,+1.7663049E+00
-196.2500E-03,-26.0000E-03,-321.6080E-03,-4.1809045E+00,+1.4654406E+00
-196.0000E-03,-47.8558E-03,-402.0100E-03,-4.1590487E+00,+1.2449784E+00
-195.7500E-03,-26.0000E-03,-402.0100E-03,-4.2601945E+00,+946.3381E-03
-195.5000E-03,-267.2060E-03,-180.4358E-03,-4.1809045E+00,+623.6181E-03
-195.2500E-03,-267.2060E-03,-321.6080E-03,-4.2613065E+00,+502.8405E-03
-195.0000E-03,-186.8040E-03,-321.6080E-03,-4.1809045E+00,+302.0100E-03
-194.7500E-03,-186.8040E-03,-400.5489E-03,-4.2613065E+00,-19.5980E-03
-194.5000E-03,-186.8040E-03,-263.4109E-03,-4.1227074E+00,-260.8040E-03
-194.2500E-03,-186.8040E-03,-359.0614E-03,-4.1809045E+00,-502.0100E-03
-194.0000E-03,-170.0945E-03,-321.6080E-03,-4.1809045E+00,-662.8141E-03
-193.7500E-03,-30.0342E-03,-317.5738E-03,-4.1005025E+00,-1.0607899E+00
-193.5000E-03,-106.4020E-03,-321.6080E-03,-4.1809045E+00,-1.2008501E+00
-193.2500E-03,-26.0000E-03,-321.6080E-03,-4.1460243E+00,-1.3864321E+00
-193.0000E-03,-92.2656E-03,-255.3425E-03,-4.1809045E+00,-1.5472362E+00
-192.7500E-03,-193.4114E-03,-241.2060E-03,-4.1005025E+00,-1.9492462E+00
-192.5000E-03,-267.2060E-03,-321.6080E-03,-4.1005025E+00,-2.1100502E+00
-192.2500E-03,-234.8989E-03,-321.6080E-03,-4.1809045E+00,-2.3189491E+00
-192.0000E-03,-186.8040E-03,-321.6080E-03,-4.1005025E+00,-2.5120603E+00
-191.7500E-03,-186.8040E-03,-321.6080E-03,-4.1809045E+00,-2.8428488E+00
-191.5000E-03,-106.4020E-03,-402.0100E-03,-4.1809045E+00,-3.0543208E+00
-191.2500E-03,-106.4020E-03,-321.6080E-03,-4.1302365E+00,-3.4262164E+00
-191.0000E-03,-106.4020E-03,-384.0296E-03,-4.1809045E+00,-3.6376884E+00
-190.7500E-03,-26.0000E-03,-252.9596E-03,-4.2495529E+00,-3.7984924E+00
-190.5000E-03,-26.0000E-03,-321.6080E-03,-4.1809045E+00,-4.0721958E+00
-190.2500E-03,-186.8040E-03,-27.1609E-03,-4.2080654E+00,-4.3613065E+00
-190.0000E-03,-267.2060E-03,-234.7889E-03,-4.1005025E+00,-4.6025125E+00
-189.7500E-03,-252.8793E-03,-241.2060E-03,-4.1809045E+00,-4.7633165E+00
-189.5000E-03,-186.8040E-03,-321.6080E-03,-4.1458340E+00,-5.0045226E+00
-189.2500E-03,-186.8040E-03,-321.6080E-03,-4.1005025E+00,-5.3261306E+00
-189.0000E-03,-186.8040E-03,-321.6080E-03,-4.1809045E+00,-5.4869346E+00
-188.7500E-03,-186.8040E-03,-385.1102E-03,-4.1640047E+00,-5.7112408E+00
-188.5000E-03,-106.4020E-03,-402.0100E-03,-4.2185481E+00,-5.9265882E+00
-188.2500E-03,-106.4020E-03,-321.6080E-03,-4.1005025E+00,-6.2689401E+00
-188.0000E-03,-27.2709E-03,-321.6080E-03,-4.1796336E+00,-6.4517587E+00
-187.7500E-03,-26.0000E-03,-382.5371E-03,-4.1809045E+00,-6.7733668E+00
-187.5000E-03,-227.0207E-03,-160.8040E-03,-4.2210898E+00,-7.0547895E+00
-187.2500E-03,-267.2060E-03,-241.2060E-03,-4.1809045E+00,-7.2363373E+00
-187.0000E-03,-267.2060E-03,-321.6080E-03,-4.2613065E+00,-7.3387853E+00
-186.7500E-03,-267.2060E-03,-321.6080E-03,-4.1809045E+00,-7.7381909E+00
-186.5000E-03,-186.8040E-03,-321.6080E-03,-4.1432923E+00,-7.9417847E+00
-186.2500E-03,-186.8040E-03,-321.6080E-03,-4.2613065E+00,+7.7962653E+00
-186.0000E-03,-186.8040E-03,-321.6080E-03,-4.1005025E+00,+7.6108422E+00
-185.7500E-03,-106.4020E-03,-321.6080E-03,-4.2366873E+00,+7.2969848E+00
-185.5000E-03,-106.4020E-03,-321.6080E-03,-4.1355416E+00,+7.1011417E+00
-185.2500E-03,-26.0000E-03,-321.6080E-03,-4.1666092E+00,+6.8949748E+00
-185.0000E-03,-26.0000E-03,-321.6080E-03,-4.1069509E+00,+6.5733668E+00
-184.7500E-03,+1.1923E-03,-402.0100E-03,-4.1005025E+00,+6.3321607E+00
-184.5000E-03,-219.2700E-03,-160.8040E-03,-4.1809045E+00,+6.0909547E+00
-184.2500E-03,-255.4838E-03,-252.9282E-03,-4.2613065E+00,+5.7810689E+00
-184.0000E-03,-267.2060E-03,-321.6080E-03,-4.1809045E+00,+5.6799231E+00
-183.7500E-03,-186.8040E-03,-321.6080E-03,-4.2315411E+00,+5.3673366E+00
-183.5000E-03,-186.8040E-03,-321.6080E-03,-4.2107973E+00,+5.2364255E+00
-183.2500E-03,-115.5511E-03,-321.6080E-03,-4.1096515E+00,+4.8849246E+00
-183.0000E-03,-106.4020E-03,-321.6080E-03,-4.2497118E+00,+4.6437185E+00
-182.7500E-03,-138.7405E-03,-273.5445E-03,-4.1328410E+00,+4.4829145E+00
-182.5000E-03,-26.0000E-03,-321.6080E-03,-4.1809045E+00,+4.2417085E+00
-182.2500E-03,-26.0000E-03,-321.6080E-03,-4.1070784E+00,+3.9201005E+00
-182.0000E-03,-40.1678E-03,-321.6080E-03,-4.1809045E+00,+3.7592964E+00
-181.7500E-03,-232.2944E-03,-115.3136E-03,-4.1354141E+00,+3.5180904E+00
-181.5000E-03,-267.2060E-03,-321.6080E-03,-4.1005025E+00,+3.3016310E+00
-181.2500E-03,-186.8040E-03,-321.6080E-03,-4.1809045E+00,+2.9552763E+00
-181.0000E-03,-250.4651E-03,-321.6080E-03,-4.1976454E+00,+2.7609905E+00
-180.7500E-03,-186.8040E-03,-284.1233E-03,-4.1434198E+00,+2.4728643E+00
-180.5000E-03,-186.8040E-03,-321.6080E-03,-4.2391330E+00,+2.2094848E+00
